id_usuario,volveria
650,1
234,0
31,1
552,1
411,0
134,1
497,1
434,0
528,1
112,1
276,1
446,1
138,1
233,1
457,1
584,1
466,0
773,1
849,1
190,0
349,1
58,0
695,1
817,1
213,0
48,1
600,1
166,1
758,1
654,1
306,1
335,1
80,1
836,1
857,1
776,0
556,1
637,0
100,1
238,1
666,1
32,1
340,1
435,1
160,1
485,1
149,0
215,0
341,0
433,1
851,1
558,1
395,1
833,0
255,1
787,1
554,0
727,1
163,0
430,0
40,1
307,1
837,0
450,1
625,1
738,1
754,0
691,1
42,1
249,1
179,1
862,1
186,1
159,0
14,1
579,1
566,1
74,1
509,1
337,1
228,0
182,1
728,1
246,1
454,1
354,1
82,0
172,1
8,1
640,1
